epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
95,1612.2,0.76616,0.99287,0.36948,0.77457,0.92526,0.89745,0.96681,0.74397,0.55744,0.55442,0.4835,0.14315,0.77341,1.02246,0.39327,0.77511,0.000449,0.000449,0.000449
96,1628.75,0.73586,0.98653,0.35612,0.77708,0.92553,0.90094,0.96678,0.74872,0.58061,0.57467,0.512,0.15807,0.77385,1.02978,0.3979,0.77524,0.0004325,0.0004325,0.0004325
97,1645.5,0.76056,1.01783,0.3563,0.77859,0.9268,0.89572,0.96572,0.7466,0.5819,0.56644,0.50405,0.15388,0.77277,1.01015,0.39977,0.77497,0.000416,0.000416,0.000416
98,1662.04,0.75649,1.00579,0.35943,0.77523,0.91946,0.88742,0.96179,0.73672,0.56474,0.54506,0.47231,0.13917,0.77512,1.02406,0.39382,0.77534,0.0003995,0.0003995,0.0003995
99,1678.67,0.74897,0.95911,0.3586,0.77825,0.92575,0.89293,0.96211,0.74213,0.56778,0.54934,0.47486,0.13992,0.76992,1.05449,0.39326,0.774,0.000383,0.000383,0.000383
100,1695.52,0.72765,0.96744,0.35333,0.77959,0.93614,0.88472,0.96292,0.74238,0.5782,0.54585,0.48843,0.14405,0.76689,0.99749,0.38953,0.77472,0.0003665,0.0003665,0.0003665
101,1713.46,0.75474,1.00218,0.35903,0.77722,0.93692,0.88035,0.96358,0.74414,0.57111,0.54585,0.48963,0.1466,0.77037,0.99904,0.40303,0.77517,0.00035,0.00035,0.00035
102,1730.22,0.70691,0.91245,0.34463,0.7783,0.93389,0.88472,0.96523,0.74977,0.56699,0.55808,0.48112,0.14134,0.74747,1.0148,0.38199,0.77456,0.0003335,0.0003335,0.0003335
103,1747.06,0.75355,0.99638,0.35347,0.77618,0.94414,0.87162,0.96276,0.7332,0.57753,0.55633,0.488,0.14417,0.77919,1.04257,0.39623,0.77529,0.000317,0.000317,0.000317
104,1763.67,0.75054,0.98882,0.35559,0.77765,0.91968,0.88996,0.9635,0.74687,0.56832,0.54615,0.47006,0.14322,0.77348,1.04734,0.39436,0.77478,0.0003005,0.0003005,0.0003005
105,1779.98,0.72698,0.98816,0.34753,0.7782,0.9195,0.88787,0.96181,0.7413,0.57393,0.55411,0.48152,0.14571,0.7542,1.03957,0.38749,0.77391,0.000284,0.000284,0.000284
106,1796.57,0.74508,0.9793,0.35269,0.77828,0.92196,0.88734,0.96179,0.74564,0.56657,0.54342,0.47475,0.14287,0.74784,1.02184,0.38296,0.77464,0.0002675,0.0002675,0.0002675
107,1813.21,0.73254,0.93104,0.34928,0.77689,0.92267,0.90131,0.96563,0.75306,0.58088,0.56856,0.50124,0.15548,0.7439,1.00206,0.378,0.77409,0.000251,0.000251,0.000251
108,1830.28,0.72348,0.98744,0.34513,0.77559,0.91971,0.90035,0.96584,0.75013,0.57687,0.56438,0.50203,0.15323,0.75028,1.00437,0.37984,0.77309,0.0002345,0.0002345,0.0002345
109,1846.69,0.72347,0.98823,0.34731,0.77604,0.9214,0.89607,0.96391,0.74969,0.57059,0.54323,0.48845,0.13907,0.74893,1.01436,0.37998,0.77409,0.000218,0.000218,0.000218
110,1863.35,0.71318,0.96736,0.34079,0.77492,0.92343,0.89345,0.96627,0.7479,0.57197,0.55459,0.49723,0.14505,0.75502,1.01202,0.3858,0.77373,0.0002015,0.0002015,0.0002015
111,1877.51,0.71745,0.9387,0.35218,0.77255,0.91685,0.88591,0.96227,0.73983,0.55278,0.53327,0.47329,0.13371,0.76585,1.00015,0.39232,0.77394,0.000185,0.000185,0.000185
112,1891.15,0.70537,0.94334,0.34492,0.77374,0.91965,0.89083,0.96619,0.7495,0.57347,0.56128,0.49799,0.14675,0.75511,1.01093,0.38539,0.77374,0.0001685,0.0001685,0.0001685
113,1904.62,0.71046,1.00833,0.34248,0.77448,0.92222,0.90086,0.96507,0.73955,0.57365,0.56157,0.49812,0.14634,0.77761,1.01542,0.39097,0.77394,0.000152,0.000152,0.000152
114,1918.16,0.70683,0.98097,0.34568,0.77486,0.92585,0.90044,0.96643,0.73946,0.57474,0.55808,0.48264,0.14418,0.77271,1.0313,0.38253,0.77335,0.0001355,0.0001355,0.0001355
115,1931.75,0.69086,0.93486,0.33666,0.77402,0.91986,0.89869,0.96485,0.74428,0.56586,0.55284,0.47906,0.13604,0.75178,1.02098,0.37874,0.77421,0.000119,0.000119,0.000119
116,1945.31,0.68306,0.90407,0.33125,0.77529,0.92472,0.90112,0.96456,0.74257,0.5702,0.54672,0.48733,0.14474,0.76015,1.03007,0.38056,0.7738,0.0001025,0.0001025,0.0001025
117,1958.84,0.69009,0.9474,0.33231,0.77241,0.9213,0.89782,0.96345,0.7452,0.56343,0.53886,0.4871,0.14113,0.75492,1.023,0.38059,0.77403,8.6e-05,8.6e-05,8.6e-05
118,1972.6,0.67485,0.88736,0.32887,0.77405,0.92379,0.89982,0.96527,0.74991,0.57804,0.55394,0.50903,0.14801,0.75042,1.02073,0.37913,0.77406,6.95e-05,6.95e-05,6.95e-05
119,1986.37,0.68068,0.93183,0.32969,0.776,0.92924,0.89467,0.96597,0.75142,0.57585,0.54934,0.51165,0.14828,0.74672,1.02286,0.37578,0.77416,5.3e-05,5.3e-05,5.3e-05
120,1999.95,0.67361,0.89052,0.32491,0.77548,0.92949,0.89258,0.96677,0.75158,0.57312,0.54642,0.50837,0.14915,0.75157,1.01514,0.37768,0.77422,3.65e-05,3.65e-05,3.65e-05
