epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
90,2048.65,0.40746,0.55504,0.29833,0.85383,0.99873,1,0.995,0.94121,0.99873,1,0.995,0.94683,0.36249,0.54018,0.20266,0.81055,0.0005315,0.0005315,0.0005315
91,2071.93,0.40626,0.56889,0.31329,0.84872,0.99874,1,0.995,0.94677,0.99874,1,0.995,0.94859,0.3557,0.53838,0.20519,0.81237,0.000515,0.000515,0.000515
92,2095.05,0.40168,0.55852,0.2988,0.85915,0.99879,1,0.995,0.94497,0.99879,1,0.995,0.94325,0.35169,0.53235,0.20194,0.81056,0.0004985,0.0004985,0.0004985
93,2117.95,0.42355,0.55721,0.29525,0.86889,0.99883,1,0.995,0.95443,0.99883,1,0.995,0.94602,0.35068,0.53136,0.20332,0.80913,0.000482,0.000482,0.000482
94,2140.97,0.38129,0.54141,0.29181,0.85372,0.99878,1,0.995,0.94488,0.99878,1,0.995,0.93163,0.34978,0.5124,0.20814,0.8147,0.0004655,0.0004655,0.0004655
95,2164.19,0.39307,0.56307,0.32408,0.85311,0.99878,1,0.995,0.94203,0.99878,1,0.995,0.93275,0.37305,0.5529,0.21211,0.82191,0.000449,0.000449,0.000449
96,2187.55,0.4009,0.56523,0.29838,0.84755,0.9988,1,0.995,0.94356,0.9988,1,0.995,0.94368,0.39609,0.52803,0.23132,0.83345,0.0004325,0.0004325,0.0004325
97,2210.54,0.38641,0.51737,0.29733,0.85834,0.9988,1,0.995,0.96157,0.9988,1,0.995,0.93862,0.38507,0.53811,0.22463,0.8337,0.000416,0.000416,0.000416
98,2234.19,0.40043,0.54635,0.3111,0.85082,0.99879,1,0.995,0.94316,0.99879,1,0.995,0.94316,0.45209,0.50743,0.25115,0.91314,0.0003995,0.0003995,0.0003995
99,2257.77,0.41169,0.56499,0.29781,0.8561,0.99877,1,0.995,0.93242,0.99877,1,0.995,0.94676,0.44903,0.50396,0.26372,0.8839,0.000383,0.000383,0.000383
100,2281.93,0.39429,0.52243,0.28801,0.84336,0.99877,1,0.995,0.9494,0.99877,1,0.995,0.94552,0.40154,0.53544,0.24661,0.83891,0.0003665,0.0003665,0.0003665
101,2305.81,0.36979,0.51474,0.30669,0.84429,0.99872,1,0.995,0.94707,0.99872,1,0.995,0.94259,0.45132,0.51015,0.24636,0.88652,0.00035,0.00035,0.00035
102,2329.22,0.39778,0.54402,0.29536,0.85747,0.99873,1,0.995,0.93126,0.99873,1,0.995,0.93636,0.47796,0.51857,0.25194,0.92108,0.0003335,0.0003335,0.0003335
103,2352.32,0.37761,0.53241,0.27337,0.85666,0.99872,1,0.995,0.93691,0.99872,1,0.995,0.94428,0.44426,0.53934,0.23431,0.8961,0.000317,0.000317,0.000317
104,2375.26,0.36631,0.52913,0.26063,0.851,0.99873,1,0.995,0.93799,0.99873,1,0.995,0.93619,0.43522,0.50427,0.23375,0.88992,0.0003005,0.0003005,0.0003005
